CommitteeID,CommitteeName,ContributedBy,RcvdDate,Amount,LoanAmount,Occupation,Employer,Address1,Address2,City,State,Zip,D2Part,Description,VendorName,VendorAddress1,VendorAddress2,VendorCity,VendorState,VendorZip,DocName,Election,RptPdBegDate,RptPdEndDate,FiledRcvdDate
23775,"Friends of Tabares","Monterrey Security Consultants, Inc.","7/3/2012",1000,0,"","","2232 S. Blue Island","","chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","7/1/2012","9/30/2012","10/15/2013"
23775,"Friends of Tabares","Monterrey Security Consultants, Inc.","3/20/2012",2500,0,"","","2232 S. Blue Island","","chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","1/1/2012","3/31/2012","10/15/2013"
22755,"Chicago Latino Public Affairs Committee","Monterrey Security Consultants, Inc.","3/19/2012",2500,0,"","","2232 S. Blue Island Ave.","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","1/1/2012","3/31/2012","4/12/2012"
20809,"Friends for Proco Joe Moreno","Monterrey Security Consultants, Inc.","3/3/2012",1500,0,"","","2232 S. Blue Island Avenue","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","1/1/2012","3/31/2012","4/25/2013"
23775,"Friends of Tabares","Monterrey Security Consultants, Inc.","1/17/2012",2500,0,"","","2232 S. Blue Island","","chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","1/1/2012","3/31/2012","10/15/2013"
22755,"Chicago Latino Public Affairs Committee","Monterrey Security Consultants, Inc.","10/26/2011",2650,0,"","","2232 S. Blue Island Ave.","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","10/1/2011","12/31/2011","1/4/2012"
22755,"Chicago Latino Public Affairs Committee","Monterrey Security Consultants, Inc.","4/7/2011",500,0,"","","2232 S. Blue Island","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Quarterly","       ","4/1/2011","6/30/2011","7/8/2011"
22479,"Citizens for Michael Carroll","Monterrey Security Consultants, Inc.","12/24/2010",2500,0,"","","2232 S. Blue Island Ave.","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Semiannual","       ","7/1/2010","12/31/2010","10/7/2011"
20809,"Friends for Proco Joe Moreno","Monterrey Security Consultants, Inc.","10/8/2010",1000,0,"","","2232 S. Blue Island Avenue","","Chicago","IL","60608     ","Individual Contribution","","","","","","  ","          ","Semiannual","       ","7/1/2010","12/31/2010","4/25/2013"
13866,"Citizens To Elect Deville","Monterrey Security Inc.","1/29/2003",200,0,,,"P.O. Box 388194",,"Chicago","IL","60638     ","Individual Contribution",,,,,,,,"Final"," ","1/1/2003","6/30/2003","7/29/2003"

